菜名	简介	食材-主料	食材-配料	制作步骤	URL
炖芸豆土豆肉片	炖芸豆土豆肉片是我们北方夏天经常吃的一个家常菜，几乎每一家都很喜欢吃，隔三差五就要炖上一锅，可以说是家常便饭了，虽然都会做这道菜，但是做出来的味道却不一样，各家有各家的高招。 我是自我感觉这道菜我炖的还是很好吃的，味道也很独特，呵呵、、、、有点老王卖瓜自卖自夸的嫌疑了。 我喜欢炖出来的菜不要有太多的汤水，如果这样吃起来感觉水塌塌的没有味道，还是炖的干楞楞的好吃，味道都浸到芸豆和土豆里了，吃起来回味无穷。	五花肉, 250g; 芸豆, 500g; 土豆, 100g	油, 适量; 盐, 适量; 十三香, 5g; 黄豆酱, 10g; 鸡精, 3g; 红酒, 适量; 葱段, 适量; 姜片, 适量; 大料, 1朵	1. 芸豆去掉两头的弦、土豆去皮，洗净后芸豆用手拌成两半，土豆切滚刀块；2. 肉切片，各种调味道备好；3. 锅里放油烧热后下入肉片、姜片、大料、葱段翻炒，肉片煸出油；4. 下入土豆、芸豆炒蔫；5. 倒入十三香；6. 倒入黄酱、盐、鸡精；7. 在倒入料酒、8. 翻炒3~5分钟后倒入一碗水；9. 倒入的水不要超过锅里的菜，盖上锅盖中火炖开后转中小火10分钟，锅里的汤液也收的没有多少了，就可以出锅了。	http://www.haodou.com/recipe/230703
小白菜烧肉丸子	人都是会老的，这几年时间妈妈的牙都掉了，镶牙还要等一段时间，所以这一段时间都要做一些好嚼的容易消化的食物，我就想到给做丸子吃，前一次做的汆丸子，这做炸的丸子，家里正好有新鲜的小白菜，那就一起来烧，小白菜喜油正好在一起搭配。 小白菜含有维生素C、不饱和脂肪酸及钙、磷、铁等矿物质。 　　* 小白菜是蔬菜中含维生素、矿物质最丰富的菜，其中所含的维生素C是白菜的3倍多，钙是白菜的2倍。	猪肉, 300g; 小白菜, 300g	油, 适量; 盐, 适量; 一品鲜酱油, 适量; 蚝油, 适量; 盐, 适量; 葱, 适量; 姜, 适量; 胡椒粉, 适量; 十三香, 适量; 鸡精, 适量; 生粉, 适量; 香油, 适量; 鸡蛋, 1个	1. 小白菜洗净控水2. 猪后腿肉用刀剁成馅，把适量的葱和姜放里一起剁3. 剁好的肉馅里放盐.鸡精.料酒.十三香.生粉朝一个方向搅匀4. 搅时放点水，再放蚝油.胡椒粉5. 最后放里一个鸡蛋和香油6. 最好要多搅一会把肉馅搅匀7. 中火油烧热把肉馅挤成丸子下油炸8. 锅里放葱花炒香加酱油炝锅，加适量水烧开9. 把炸好的丸子和洗好的小白菜下锅10. 加少许盐.炖约两分钟11. 最后加点鸡精即可出锅	http://www.haodou.com/recipe/230625
土豆干黄瓜钱炒肉	这是一道比较传统地道的东北菜，操作简单，但菜肴的味道还是很不错的，黄瓜钱脆生的，土豆干根究的不信你也尝一尝。	精肉, 400g; 土豆干, 150g; 黄瓜钱, 200g	油, 适量; 盐, 适量; 葱花, 适量; 花椒面, 适量; 酱油, 适量	1. 土豆干洗净用水充分发泡，控水后备用2. 黄瓜钱洗净泡发后控水备用3. 肉片、葱花备用4. 热油后加入肉片、葱花5. 加入花椒面6. 加入酱油7. 加入土豆干8. 加入黄瓜片翻炒9. 加盐，翻炒均匀10. 传统美食新鲜出炉	http://www.haodou.com/recipe/229647
煎黄鱼	今天又做了煎黄鱼，每次的做法都有所改进和不同，反正是家里人吃，想怎么改都不过分，我的目的是只要家人喜欢就是成功的。由于天气热人们的食欲都有不同程度的 夏天的到来由于天气热人们的食欲都有不同程度的减少，都喜欢吃比较清淡的食物，特别是我们东北，一到夏天大家都很喜欢吃高粱米水饭煎黄花鱼这是好多好多年就留下来的风俗，今天我就是煮了一锅高粱米饭，做了两条黄花鱼，呵呵!还别说吃起来很爽口的。 其实煮过的饭再用水过几遍水再吃，从营养角度上来说饭里面的营养已经损失了一大部分，但是人们都知道这样吃不好，但是还是改变不了这个老辈人留下来的这个习惯，一道夏天就照吃不误。嗨、、、、、没有办法啊，就爱这一口吗。吃上一口高粱米水饭在配上煎的焦黄的黄花鱼简直是神仙过的日子了。	黄鱼, 400g	油, 适量; 盐, 适量; 葱, 1根; 姜, 4片; 自酿红酒, 15ml; 米醋, 15ml; 酱油, 适量; 鸡精, 5g; 蒜, 1头	1. 将黄鱼刮去鱼鳞，去掉鱼鳃、剪掉鱼鳍，清洗干净后在背部两侧切花刀，放入盐抹在鱼背上；2. 把葱段、姜片 分别放在鱼肚子里和鱼背上、倒入自酿红酒去腥；3. 在撒少许白胡椒粉，腌制15·20分钟；4. 平底锅烧热放入油，再把腌制好的黄油摆放在锅里，中小火煎至两面金黄；5. 倒入调好的碗汁（酱油、米醋、白糖、红酒、鸡精、五香粉蒜片、葱段）6. 盖锅盖把锅里的碗汁犒干5~8分钟即可出锅。	http://www.haodou.com/recipe/230687
茴香肉火烧	茴香在我家是见不到的，原因是不太喜欢那个味，所以就没买过。但前几天我弟弟送来一些，不收下不合适，他还一个劲说好吃。一是他自己租的菜地自己种的--没打农药，是真正的无公害；二是营养价值高。上网查了一下还真是不错。茴香苗含有大量它的维生素C、B，胡萝卜素及各种人体必需的氨基酸。具有温肝胃、暖胃气、散寒结、驱风邪等保健疗效，有助于缓解痉挛、减轻疼痛。	面粉, 300g; 五花肉, 250g	油, 适量; 酱油, 适量; 酵母, 1勺; 茴香, 适量; 五香粉, 适量	1. 将五花肉剁碎2. 面粉加酵母和成柔软适中的面团，待发酵。3. 肉馅倒油及五香粉拌匀。4. 倒酱油拌匀，5. 放入切末的茴香拌匀。6. 把发好的面分成合适的剂子。7. 擀皮包馅，收口朝下。8. 把包好的放到一边醒5分钟。9. 把生火烧放入烧热的锅里。10. 煎至两面金黄，出锅。	http://www.haodou.com/recipe/228365
素烧饼	如今夏天 温度太高 若做菜饼 吃不了也容易坏掉，今天家里没有面食了，打算炒个青菜 所以就做个素烧饼吧，刚做出来的烧饼 比较好吃，很劲道。	面粉, 400g	水, 适量	1. 揉好的面团2. 揉成长条3. 揪成这样的小块4. 擀成这样中厚度的小圆饼5. 电饼铛提前预热好  然后把饼子放入 按下大饼键就行了6. 8分钟左右 打开饼铛 已经快熟了 然后反过来继续烤制7. 三分钟后 饼子就熟了 8. 拿到盘中 开饭时可以搭配菜一块吃了	http://www.haodou.com/recipe/228348
土豆片炖干豆腐	昨天炸好的肉丸子没吃完还在保鲜柜里，妈妈牙口不好喜欢吃软烂一点的菜，那就用肉丸子做一个东北人爱吃的家常炖菜：土豆片炖干豆腐，这样土豆和干豆腐会吸收肉丸子的油腻会变的香浓，而肉丸子也会更加软嫩适口。把一些传统的美食稍微改良一下就会成为新的美味，这也是为传承这些很传统的美食做的一点小创新	土豆, 5个; 干豆腐, 3张; 五花肉, 100g	油, 适量; 盐, 适量; 葱, 适量; 姜, 适量; 干辣椒, 适量; 十三香, 适量; 蚝油, 适量; 酱油, 适量; 尖椒, 2个; 鸡精, 适量; 肉丸子, 适量	1. 五花肉.土豆切片2. 干豆腐切条3. 准备炸好的肉丸子，尖椒切段4. 锅烧热放油五花肉葱花姜丝干辣椒段下锅煸炒5. 再放点十三香6. 放一品鲜酱油炒香7. 下土豆片煸炒上色8. 加适量水大火烧开9. 把切好的干豆腐下锅10. 加入适量蚝油.盐炖约五分钟11. 再把炸好的肉丸子和切好的尖椒段放入锅里炖两分钟12. 加适量鸡精13. 出锅装盘即可	http://www.haodou.com/recipe/230406
素卤咸豆花	东北大地上，称它为豆腐脑，经常见于街边的早点小吃摊上。而有着江南情节的我却更爱这南方的名字，豆花。在南方，才尝到了甜味的豆花。而无论是咸是甜，这种轻舀一勺后盈于口内舌间的软嫩轻颤之感，当真是让人才下舌间，又上心头。 洁白的豆花上浇上浓厚味重的素卤，就像东北女子却深爱着江南一般，无论何时何地，只要是美味，都能有着相融的味道。一碗素卤咸豆花，是让你想到舌尖上的东北还是舌尖上的江南？ 我只知道，先盛上一碗吃到口里，才是顶顶重要滴~~	生豆浆, 1000g; 凝固剂, 2g; 水发木耳, 50g; 黄瓜, 40g	油, 适量; 盐, 适量; 葱, 10g; 生抽, 1小勺; 老抽, 1/8勺; 鸡精, 适量; 白糖, 适量; 水淀粉, 适量; 水, 适量	1. 将凝固剂倒入大盆中。2. 将豆浆倒入煮锅中，煮开后撇去浮沫，煮1分钟。3. 将煮过的豆浆立即倒入放有凝固剂的盆中，盖上盖子，焖10分钟左右至豆浆凝固成豆花。4. 将发好的木耳用水冲洗净，撕成小片；黄瓜切成小片；葱切成碎片。5. 炒锅中倒入油，油温升高后放入葱花，炒出香味后放入木耳、黄瓜，翻炒。6. 放入盐、生抽、老抽、鸡精，开水适量，搅匀。7. 煮开后放入白糖，搅匀；再放入水淀粉勾芡。8. 盛适量豆花入碗，再浇上适量卤子即可。	http://www.haodou.com/recipe/230130
萝卜馅水饺	小时候，物质不丰富，饺子永远是美味。并不像现在这样想吃就包，那时候，一般来客人了，逢年过节，或者其他的原因，才会包一顿饺子，但是也是肉少菜多。 　　虽然如此，母亲也尽量丰富餐桌，没有肉，做素馅也可以。而且大部分的菜都要以入馅，豆角馅、萝卜馅、粉条馅、野菜馅、芹菜馅、香菜馅等等。 　　那时候，母亲还常常包花样，将肉多的包成花样，那是给我和弟弟吃的，而肉少的或者没肉的包成普通的形状，是她和父亲吃的。现在想想，真是可怜天下父母心呀。	萝卜, 200g; 面粉, 1000g; 五花肉, 200g	香油, 适量; 盐, 适量; 葱, 适量; 蒜, 适量; 姜, 适量; 酱油, 适量; 料酒, 适量; 花椒面, 适量; 鸡精, 适量; 十三香, 适量	1. 五花肉切成小丁，剁成肉馅。2. 肉馅中放入盐、花椒面、葱、姜、蒜、鸡精、十三香、料酒、酱油拌匀。3. 萝卜洗好，用擦丝器擦成丝。4. 剁成细末，挤去水。5. 将萝卜与肉馅混和，最后放入香油拌匀。6. 面粉中放入清水，和成一个稍硬的面团。7. 醒半个小时。8. 将面团搓成细长条。9. 切成小剂子。10. 将小剂子按扁。11. 擀成饺子皮。12. 取一饺子皮，取适量的馅放在中间，包成饺子。13. 包好的饺子。14. 烧一锅开水，水开后，放点盐，下入饺子，煮熟即可。	http://www.haodou.com/recipe/228319
东北熏干豆腐肉卷	这是一道比较传统的东北凉菜，其实自己在家做也很简单。 用这个烟熏的方法自己在家就可以做很多熏菜了，味道也是挺地道的。	猪肉末, 150g	干豆腐, 2张; 葱, 适量; 姜, 适量; 盐, 适量; 酱油, 适量; 料酒, 适量; 蚝油, 适量; 甜面酱, 适量; 油, 适量; 十三香, 适量; 蛋清, 适量; 淀粉, 适量; 白糖, 适量	1. 肉馅加水沿一个方向搅上劲，加葱姜末、盐、甜面酱、酱油、料酒、十三香、蚝油、淀粉、植物油继续搅拌均匀。2. 将肉馅薄薄的均匀的铺在干豆腐上。3. 然后卷起来。4. 开口朝下放到蒸锅上，用牙签在干豆腐表面戳几下，然后蒸20分钟。5. 另取一个炒锅，里面铺锡纸，上面放两勺白糖。6. 蒸好的干豆腐卷连篦子一起放到炒锅里。盖锅盖开火，冒烟后30秒关火，再焖1分钟。7. 熏好的干豆腐卷表面要立刻刷上香油，否则会变干。8. 装盘晾凉后切块食用。	http://www.haodou.com/recipe/227867
韭菜鸡蛋锅贴	锅贴，据说南北方的形状不同。两端开口的是北方锅贴，而南方锅贴就是煎饺。第一次包锅贴，所以就选择了我们北方的包法，没想到刚出锅的香喷喷的锅贴外酥里嫩，鲜美无敌呀！(*^__^*) 嘻嘻……	韭菜, 200g; 鸡蛋, 2个	油, 适量; 盐, 适量; 花椒粉, 适量; 鸡精, 适量; 面粉, 适量; 葱, 适量; 芝麻, 适量	1. 准备适量韭菜洗干净，和两个鸡蛋。2. 韭菜沥干水分切成小段。3. 鸡蛋打散，炒成鸡蛋碎。4. 把以上材料放在一起，依个人口味加盐、花椒粉、鸡精搅拌均匀。5. 面粉放盆中，慢慢加入清水并用筷子搅拌成絮状，然后用手揉成软硬适中光滑的面团，将面和好后，饧一会。6. 将饧好的面团揉成长条，滚刀切成剂子。7. 将剂子撒上一层薄面，用手压扁，用擀面杖擀成中间厚周边薄的饺子皮。8. 将馅料放入皮中。9. 包成锅贴状。10. 不粘锅或者平底锅，放入油烧至六成热，将锅贴依次排好。11. 先煎2分钟，然后沿锅边加入没过锅贴一半的水。12. 盖上，煎10分钟。13. 待饺子底面呈金黄色撒入葱末和芝麻，即可盛出。	http://www.haodou.com/recipe/228487
黄瓜鸡蛋馅水饺	人们现在讲究的是健康。以健康为标准吃些清淡可口的食品。黄瓜清热消暑搭配鸡蛋做馅料。做出的饺子清香清淡，吃到口里那脆脆的味道，会让你回味无穷滴。制作简单。食材很普通随处可见，成本也不高。	鸡蛋, 100g; 黄瓜, 200g; 面粉, 300g	油, 适量; 盐, 适量	1. 新鲜的黄瓜洗净 切片 再改刀切丝2. 切的越碎些越好3. 鸡蛋打散 油炒 凝固就可以4. 温水和面 保鲜膜覆盖松弛15分钟5. 揉光面团6. 揪出饺子的面剂子 擀皮不要太薄7. 开始包饺子 这个方法是捏饺子8. 成品图 捏的饺子边大9. 水一定要多放些 水开再下饺子  不要盖锅  饺子皮变色就熟了 鸡蛋和黄瓜馅料，鸡蛋是熟的 黄瓜可以生食的 这样煮出来的饺子馅清香	http://www.haodou.com/recipe/230132
电饼铛豆沙酥饼	烤箱烤出来的酥饼肚子会鼓起来，每个分层之间的空间比较大，口感会特别的酥松。饼铛做的，因为有厚度的空间限制，层次会被上下盘压到一起，口感稍差，但是只要面团做的好，一样也会有层次分明的感觉。 家里没有烤箱的筒子们不妨也试试看哦。	面粉, 300g	油, 适量; 清水, 120g; 红豆沙, 适量	1. 和好水油面，面团软硬适中，盖保鲜膜醒20分钟。材料：面粉200克、色拉油4汤匙、清水120克。2. 和好油面，面团非常柔软，盖保鲜膜醒20分钟。材料：面粉100克、色拉油5汤匙。3. 水油面团分几份。4. 取一份擀平，加入一份油面球。5. 像包包子一样包好。6. 反过来放在案板上，案板上要洒上干面粉。7. 将其擀成鞋底形。8. 卷好，竖过来放。9. 再擀成长条形。10. 再次卷起来。11. 立起来放。12. 压扁。13. 用擀面杖擀平。14. 包入适量豆沙馅，内馅也可以选择其它材料。15. 像包包子一样包好。16. 反过来压平，饼铛预热后，放入饼坯烤20分钟即可。（忘记拍照鸟）不用抹油。	http://www.haodou.com/recipe/227878
猪肉茴香饺子	小时候的菜品很单调，妈妈为了让我们冬天能吃上茴香馅饺子，在秋天的时候，把买回来的茴香切碎用盐腌上，冬天的时候拿出来包饺子吃，在那个只有土豆白菜的冬季，那一抹绿色让我记忆犹新，谢谢妈妈给我了那么美好的回忆。	面, 400g; 猪肉, 250g; 茴香, 300g	油, 适量; 盐, 适量; 葱, 适量; 姜, 适量; 酱油, 适量; 花椒面, 适量	1. 面粉加适量的水活成软硬适中的面团，醒30分钟2. 猪肉切馅，加花椒面、盐、酱油、色拉油、姜末、葱末搅拌均匀3. 茴香去跟洗净，切碎，加入拌好的肉馅中，搅拌均匀4. 取一块面，搓成长条5. 分成大小均匀的面剂6. 擀成中间稍厚、边上稍薄的饺子皮7. 放入适量的馅包成饺子，依次放好，如不吃，可放入冰箱冷冻，冻好后装入保鲜袋，随吃随煮8. 煮冻饺子的时候加入几节大葱，可以防止冻饺子破皮9. 煮至饺子底朝上就可以出锅了10. 切蒜末加入醋、香油蘸饺子吃	http://www.haodou.com/recipe/228096
香菇油菜猪肉水饺	俗话说“好吃不如饺子”“饺子就酒，越过越有”。 以前的人们只有年三十才能吃上一顿饺子，现在生活水平提高了，吃的东西越来越好，渐渐的对饺子都失去了感情，但是饺子永远都是中华民族的传统美食。	面粉, 250g; 猪肉, 200g; 油菜, 200g; 香菇, 80g	油, 适量; 盐, 适量; 酱油, 适量; 香油, 适量; 葱花, 适量	1. 和好的面团醒10分钟2. 猪肉馅放酱油，葱花搅拌均匀3. 油菜切成末后撒上盐，揉匀后挤出汤汁4. 干香菇泡发后切末5. 香菇末、油菜末都放入肉馅里，加油、盐、香油搅拌均匀6. 做出等量的面剂子7. 取一个面剂子擀成饺子皮8. 放上适量的陷9. 把面皮对折，捏上口10. 包好所有饺子11. 水开后煮饺子，待饺子浮出水面再煮2、3分钟	http://www.haodou.com/recipe/227792
白菜芹菜猪肉蒸包	妈妈包包子的水平绝对是一流的，包子的褶正好是18个，而且皮薄馅大，猪肉馅多放一些更增加了包子的肉香，白菜和芹菜掺在一起味道清香好吃，我帮着妈妈擀皮，看着妈妈麻利的包包子真是羡慕啊，每次吃包子我都能吃5,6个呢，真是太好吃了，有口福啊	面粉, 1000g; 猪肉, 700g; 白菜, 500g; 芹菜, 400g	油, 适量; 盐, 适量; 葱, 适量; 姜, 适量; 酱油, 适量; 胡椒粉, 适量	1. 猪肉馅中加入盐，酱油，胡椒粉，油拌匀2. 白菜和芹菜剁碎3. 姜白菜和芹菜放入肉馅中，拌匀4. 发面，然后揪成剂子5. 擀面杖擀皮6. 然后将肉馅放入面皮中包包子7. 入蒸锅蒸15分钟即可	http://www.haodou.com/recipe/227969
烫面豆沙饼	上次做的手抓饼用温水和面，烙出来的饼总觉得有点硬。这次用烫面做的，饼确实软，而且是太软了。豆沙饼软点很好，但是手抓饼是需要有点咬劲的，应该采取开水面团和冷水面团揉在一起的方法。	面粉, 250g	开水, 适量; 油, 适量; 豆沙, 适量	1. 将开水倒在干面粉里，用筷子将面粉全部搅成絮状。等面粉不烫手后，揉成光滑的面团，醒面20分钟。2. 将面团分成若干等份。3. 取一份用手按扁。4. 擀成大圆片。5. 涂满红豆沙。6. 将饼皮卷起。7. 从头盘起来，用手轻轻压扁。8. 平底锅中倒少量油，将饼坯小火烙至两面金黄即可。	http://www.haodou.com/recipe/227886
雪里蕻炖豆腐	雪里蕻是北方特色的菜肴了，妈妈和我斗十分的喜欢吃这道菜，雪里蕻味道鲜咸，豆腐加入雪里蕻中，和肉片一起炖制，豆腐软嫩可口，味道真的是十分的香啊，最好炖制的时间长一点，更好吃了，加上一碗米饭，香喷喷的饱餐一顿是一件很开心的事情啊	雪里蕻, 600g; 豆腐, 300g; 猪肉, 50g	油, 适量; 盐, 适量; 葱花, 适量; 胡椒粉, 适量	1. 腌制的雪里蕻切成段，洗净2. 葱花炝锅，放入猪肉炒3. 放入雪里蕻大火炒4. 加入适量的清水炖制5. 然后加入豆腐，快速炒匀，加入盐，胡椒粉即可	http://www.haodou.com/recipe/227353
豆角玉米面包子	古话云“不听老人言，吃亏在眼前”。一直老妈教导，肉馅里肥、瘦肉比例3：7最合适，想到儿子和我不断上升的体重，在饮食上尽量减少脂肪的含量。今天想吃豆角包子，肉馅尽量买瘦的，肥瘦比例1：9吧，结果，包子馅做出来就是没有那么油润，口感也不滑，幸好有豆角的清甜补足，否则这锅包子就没这么畅销了。	天然酵种, 100g; 玉米粉, 100g; 中粉, 400g	植物油, 2勺; 盐, 适量; 猪肉, 750g; 青豆角, 500g; 配酒, 2勺; 姜汁, 2勺; 鸡蛋, 2个; 水, 258ml	1. 买好的猪肉请肉贩打成肉碎，在肉碎里加入料酒、姜汁、适量的盐鸡蛋用厨师机搅拌起胶质，加入植物油再拌匀。2. 青豆角切细粒用盐水焯熟，沥干水分冷却后加入肉馅里拌匀待用。3. 将主料里材料全部放进厨师机搅拌至放入厨师机。开1档搅拌3分钟，转3档搅拌5分钟，转1档搅拌3分钟，转3档搅拌5分钟。揉匀后停机。4. 将面团取出放在容器里，加盖保鲜膜，室温发酵4-6小时。（冬：8-12小时，春，秋：6-8小时，夏：4-6小时5. 将发酵发了的面团分为35克/个的小剂子，取一个小剂子用手压平，擀成中间厚边边薄的面片，在面片中间放2勺馅。我的馅料准备多了，可以适当减少肉馅的量。6. 面片团团打折收紧口排入在垫了沙布的蒸笼上，加盖醒发30分钟。7. 冷水中火上锅，上气后计时蒸12分钟熄火，3分钟后再揭开锅盖，热气腾腾的玉米面的豆角包子就可以开吃了。	http://www.haodou.com/recipe/227116
酸甜锅包肉	锅包肉是一道东北风味菜，小时候有时候没有食欲，妈妈知道我喜欢酸甜口味，所以就变着花样给我做好吃的，锅包肉就是最喜欢的一道家常菜，做法很多，口味也不同，可以是酸甜，也可以是咸酸，不管怎么吃，只有喜欢就好！酸酸甜甜的还香脆可口，特别开胃，妈妈的手艺也是一级棒，只是过程有些麻烦，以前妈妈做给我吃，现在我做给妈妈吃，看完是否得到妈妈的真传吧！成菜色泽金黄，外酥里嫩，酸甜可口.加上吃多不油腻的特点，适合夏天食用，开胃增食欲。	里脊肉, 400g	油, 适量; 淀粉, 适量; 白糖, 适量; 白醋, 适量; 番茄酱, 适量	1. 肉切成肉片，至少要5毫米厚2. 准备好淀粉、白糖、白醋、番茄酱3. 即将猪里脊肉切片裹上淀粉里面可以倒一点油，以免炸的时候溅油4. 炸浆下锅炸5. 炸至金黄色捞起6. 煎好的肉片捞出备用7. 白糖放入锅内熬制成糖稀，再加入白醋、番茄酱，成粘稠状出锅8. 浇汁到炸好的肉段	http://www.haodou.com/recipe/227093
大葱炒肉丝	大葱其实平时很少会出现在我们家的餐桌上，偶尔的出现不过是当做配菜而已，这次却当做主料，实在是难得，因为要请客，怕每个人的口味不同，所以准备了不同的菜式来搭配。	猪肉, 200g; 大葱, 2根	油, 适量; 盐, 适量	1. 猪肉切丝备用2. 大葱洗净切段备用3. 将肉丝倒入锅内翻炒4. 待肉变色后加入大葱翻炒5. 加入适量盐料酒调味6. 最后等肉熟了以后即可装盘食用	http://www.haodou.com/recipe/227689
木耳韭菜煎饺	我们家孩子喜欢吃饺子，特别喜欢吃香香的煎饺。好吃又营养是必须的，所以在韭菜和炒蛋里面又加了黑木耳和肉糜。 黑木耳含有对人体健康有益处的多种营养成分和微量元素，有益气、充饥、轻身强智、止血止痛、补血活血等功效，还是比较适合孩子的。 我们家小盆友说这煎饺里面加了黑木耳与肉糜的更好吃呢。	面粉, 400g; 韭菜, 250g; 黑木耳, 30g; 鸡蛋, 1个; 肉糜, 75g	油, 适量; 盐, 适量; 酱油, 适量	1. 准备食材。面粉用开水糅合。2. 温锅温油炒鸡蛋。3. 鸡蛋炒好装盘备用，锅中留底油将肉糜煸香。4. 倒入黑木耳煸炒。5. 搁盐。6. 酱油翻炒均匀。关火。7. 倒入鸡蛋。8. 最后倒入韭菜翻炒均匀，馅料就准备好了。9. 烫面揉成长条、切段、擀成圆片，放入馅料。10. 将包入馅料的面皮对折捏紧即可。11. 电饼铛预热刷油。12. 放入饺子煎5分钟。13. 翻面，撒点水再煎2分钟。14. OK，稍稍冷却后就可以咯。	http://www.haodou.com/recipe/227118
猪肉茴香水饺	小时候的邻居们都知道妈妈爱做的饭排在首位的当属饺子。因为我们全家都爱吃饺子，妈妈就不辞辛苦的经常包各种馅的饺子。这款猪肉茴香馅饺子是当年这个季节妈妈爱包的饺子中的一款。	猪肉, 300g; 茴香, 300g; 小麦粉, 500g	油, 适量; 盐, 适量; 酱油, 适量; 味精, 适量; 木耳, 适量; 葱, 适量; 姜, 适量	1. 和好小麦粉醒着。面醒的透，饺子好吃，口感好。2. 茴香择洗干净。3. 猪肉馅加盐、酱油、味精、葱姜末调匀。4. 茴香切碎与肉馅调均匀。可以加些木耳，使馅的营养更全面。5. 将面做成大小均匀的面剂。6. 将面剂擀成圆形，饺子皮就好了。7. 将馅放在饺子皮的中间。8. 将饺子皮的前后合上，从一端捏起至捏严。第6步骤图中有成品饺子。9. 锅中加水烧开，饺子入锅煮。水要多些，以防粘锅或饺子粘连 。开锅后加一次或两次凉水。饺子浮上水面，饺子肚膨胀了，按一下马上起来，这时饺子就熟了。10. 煮熟的饺子。	http://www.haodou.com/recipe/227207
大肉包菜水饺	女儿最喜欢吃饺子了，基本上我们家是每周一次饺子是必须的，一连几次吃同一种馅料的，小家伙就有点不开心了，吃腻了，所以每次的饺子我都是换着花样的给做馅料的，上周吃了酒菜的，这不，今天刚好有个大包菜，今天就用他来做吧，把包菜剁碎，然后和肉馅一起来包的饺子，也是很不错的，女儿一口气吃了15个，很棒的。	五花肉, 500g; 包菜, 300g	油, 适量; 盐, 适量; 生姜, 适量; 饺子陷调料, 适量; 生抽, 适量; 料酒, 适量	1. 准备适量的肉，一般是瘦肉多点  ，把肉和姜丝一起，用刀把肉馅剁碎2. 准备包菜一个，把包菜切碎 ，越碎越好3. 把切碎的包菜和肉馅放在一起，加上调料  ，料酒 生抽  饺子馅料  等  ，搅拌均匀4. 准备饺子皮，把 搅拌好的肉馅放在皮里，把边全部捏紧5. 把边全部捏紧就可以了，用同样的方法把所有的饺子都包好6. 上锅烧水，水开了，开始煮饺子  ，一般水开一次，在加点水，开第二次就好了	http://www.haodou.com/recipe/227277
高粮老面馒头	小时候家里做馒头、包子都会留下一小块面团，放到下次蒸馒头的时候做为发面用，那时家里没称，不用称，直接掐一块面团用塑料袋子装好放在碗柜里，第二次做馒头的时候加新面粉、水一起合成面团发酵就行，真记不起当时家里没冰箱是怎样保存留下来的老面团了。现在发酵基本上用即时酵母，发酵快而且方便，但时不时的还是回味起老面馒头特有的味道。上次做馒头的时候特意留一块面团存放在冰箱里即为老面团了，下次做馒头、包子发酵用。	老面, 100g; 中粉, 200g; 高粮面, 100g	食用碱, 1g; 水, 156ml	1. 将主料里材料全部放进厨师机搅拌至放入厨师机。开1档搅拌3分钟，转3档搅拌5分钟，转1档搅拌3分钟，转3档搅拌5分钟。揉匀后停机。2. 将面团取出放在容器里，加盖保鲜膜，室温发酵8小时。用手指粘面粉插入面团，移开手指指痕不消失或者面团塌陷，说明面团已经发酵好了。3. 食用碱用份量外的1小勺温水调匀，取出面团放在操作台上，用手粘碱水慢揉面，粘一下碱水，揉面，再粘碱水，再揉面，如此将碱水揉进面团。4. 揉好的面团平均分均匀分割为8份。5. 取1个小面团揉搓滚圆放在垫了沙布的蒸笼上，室温发酵1小时，面团长大1.5倍左右。6. 冷水上锅，上气后计时，中火煮15分钟，熄火，3分钟后揭开锅盖即可食用。	http://www.haodou.com/recipe/227146
鸡蛋韭菜馅锅贴	锅贴是当年妈妈常做，我们爱吃的一款面食。 锅贴可以和水饺论为兄弟，都是面裹着馅，只是水饺是用水煮熟，锅贴是用铛煎熟，吃水饺享受的是水灵灵，吃锅贴品尝的是香脆酥。	鸡蛋, 2个; 韭菜, 300g; 小麦粉, 500g	油, 适量; 盐, 适量; 酱油, 适量; 味精, 适量; 芝麻油, 适量; 姜, 适量	1. 和好小麦粉。2. 将鸡蛋炒熟，要炒碎。3. 韭菜择洗干净后切碎。4. 鸡蛋与韭菜会合，加油、盐、味精、芝麻油、姜末。5. 搅拌均匀，锅贴馅就准备好了。6. 将面做成大小均匀的面剂。锅贴要比水饺大些，做的面剂要稍微大点儿。7. 将面剂擀圆，作锅贴皮。 8. 将馅置于皮的中间。9. 将皮前后合在一起捏严。10. 这是包好的锅贴，排列整齐的等着入铛。11. 电饼铛通电，加少许油涂均匀，将锅贴入铛，盖上盖煎。期间要淋一次水，否则锅贴太干。12. 这是煎制好的锅贴，香喷喷，又脆又酥。 	http://www.haodou.com/recipe/227019
